INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
233149851,9/4/2021,20:18:00,MANHATTAN,32,0,,FALSE,18-24,M,WHITE HISPANIC,<18,M,BLACK,998593,235938,40.81426765,-73.94818529
230713947,7/9/2021,3:45:00,QUEENS,110,0,,FALSE,,,,25-44,M,BLACK,1015799,208304,40.73837495,-73.88615591
227950660,5/7/2021,20:57:00,MANHATTAN,25,0,,FALSE,,,,25-44,M,BLACK,1001980,236231,40.8150657,-73.93594849
235246198,10/20/2021,2:30:00,BRONX,44,0,,FALSE,25-44,M,BLACK HISPANIC,25-44,M,BLACK HISPANIC,1007801,245976,40.84179934,-73.91488483
228561932,5/21/2021,21:06:00,BROOKLYN,77,0,,FALSE,<18,M,BLACK,25-44,M,WHITE,994341,185941,40.67704431,-73.96362125
237290043,12/3/2021,2:25:00,BROOKLYN,60,0,PVT HOUSE,FALSE,,,,25-44,M,BLACK,994256,150750,40.58045253,-73.96397986
225063426,3/2/2021,6:44:00,BROOKLYN,73,0,,FALSE,,,,25-44,M,BLACK,1005210,182059,40.66637003,-73.9244483
229643172,6/16/2021,23:22:00,BRONX,52,0,,FALSE,18-24,M,WHITE HISPANIC,25-44,M,BLACK,1014313,254123,40.86414065,-73.89131304
229822334,6/19/2021,22:05:00,MANHATTAN,25,0,,FALSE,,,,18-24,F,BLACK,1002273,234972,40.81160951,-73.93489335
232331294,8/16/2021,0:30:00,BROOKLYN,75,0,,TRUE,,,,18-24,M,BLACK,1014905,185861,40.6767774,-73.8894841
237710986,12/11/2021,7:45:00,QUEENS,115,0,PVT HOUSE,TRUE,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1019626,218912,40.76747672,-73.87229027
227953673,5/10/2021,0:01:00,QUEENS,114,0,,TRUE,25-44,M,BLACK,25-44,M,BLACK,1000198,214660,40.75586246,-73.9424375
226803058,4/11/2021,16:26:00,BROOKLYN,77,0,,TRUE,,,,25-44,M,BLACK,1001484,183731,40.67096733,-73.93787489
225620486,3/13/2021,10:15:00,BROOKLYN,69,0,,TRUE,25-44,M,BLACK,<18,M,BLACK,1007751,172325,40.63964595,-73.91532284
222560300,1/3/2021,19:00:00,QUEENS,105,0,,FALSE,,,,25-44,M,BLACK,1054092,184886,40.67387883,-73.74821788
234268731,9/29/2021,1:45:00,BRONX,44,0,,FALSE,25-44,M,BLACK,25-44,M,BLACK,1006682,243781,40.83577761,-73.91893639
227344439,4/24/2021,23:22:00,BRONX,44,0,,FALSE,,,,25-44,M,BLACK,1006421,243591,40.83525678,-73.91988023
230232276,6/29/2021,14:35:00,BRONX,48,0,,FALSE,25-44,M,BLACK,25-44,M,BLACK,1013685,249148,40.85048789,-73.89360532
235423768,10/24/2021,1:29:00,QUEENS,101,0,,FALSE,,,,25-44,M,BLACK,1047825,156482,40.59596336,-73.77107818
225999506,3/23/2021,13:11:00,QUEENS,114,2,MULTI DWELL - PUBLIC HOUS,TRUE,,,,25-44,M,BLACK,1009062,215186,40.75728577,-73.91044117
229491478,6/11/2021,1:30:00,MANHATTAN,34,0,,FALSE,18-24,M,BLACK HISPANIC,18-24,M,WHITE HISPANIC,1006293,254896,40.86628597,-73.92030562
231965177,8/7/2021,2:44:00,BROOKLYN,73,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,25-44,M,BLACK,1006042,182535,40.66767454,-73.9214477
231635824,7/30/2021,4:56:00,BRONX,49,0,COMMERCIAL BLDG,TRUE,25-44,M,BLACK,45-64,M,BLACK,1026402,256703,40.87117251,-73.84759086
235636166,10/28/2021,17:04:00,BROOKLYN,77,0,,FALSE,25-44,M,BLACK,18-24,M,BLACK,997362,185492,40.67580795,-73.95273079
233149851,9/4/2021,20:18:00,MANHATTAN,32,0,,TRUE,18-24,M,BLACK,<18,M,BLACK,998593,235938,40.81426765,-73.94818529
230562013,7/7/2021,23:35:00,BRONX,48,0,,TRUE,,,,18-24,M,BLACK,1015953,248464,40.84860266,-73.88541063
236236703,11/13/2021,5:12:00,BROOKLYN,83,0,,FALSE,,,,25-44,M,BLACK,1004498,192279,40.69442326,-73.92698409
224079498,2/6/2021,21:14:00,BRONX,42,0,,TRUE,25-44,M,BLACK,25-44,M,BLACK,1009784,239429,40.8238242,-73.90774292
231637053,7/31/2021,22:36:00,QUEENS,115,0,,FALSE,,,,25-44,F,WHITE HISPANIC,1020765,213373,40.75226897,-73.86820845
224949527,2/26/2021,13:15:00,BROOKLYN,75,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,18-24,M,BLACK,1019639,184384,40.67270572,-73.87242487
228890011,5/28/2021,21:45:00,BROOKLYN,90,0,MULTI DWELL - APT BUILD,TRUE,,,,25-44,F,WHITE,1004061,196693,40.70653965,-73.92854699
233942902,9/22/2021,8:29:00,BROOKLYN,63,0,FAST FOOD,FALSE,18-24,M,BLACK,<18,M,BLACK,1006671,170359,40.6342525,-73.91922082
224747405,2/23/2021,22:21:00,BROOKLYN,71,0,MULTI DWELL - APT BUILD,FALSE,,,,18-24,F,BLACK,996789,178574,40.6568204,-73.9548094
230311078,7/1/2021,23:07:00,MANHATTAN,23,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,25-44,M,BLACK,999061,229912,40.79772717,-73.94650786
231047258,7/18/2021,19:23:00,QUEENS,109,0,,TRUE,,,,25-44,M,WHITE HISPANIC,1031170,218910,40.7674175,-73.83061529
222772733,1/7/2021,15:50:00,BROOKLYN,79,0,,FALSE,25-44,M,BLACK,25-44,M,WHITE HISPANIC,1000707,190252,40.68886748,-73.94065996
234323833,9/30/2021,6:38:00,BRONX,42,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,45-64,M,BLACK,1010599,243531,40.83508062,-73.90478208
236326559,11/15/2021,19:35:00,BROOKLYN,73,0,,FALSE,,,,25-44,M,BLACK,1009775,186072,40.67737283,-73.90797795
231246225,7/22/2021,6:32:00,MANHATTAN,34,0,GROCERY/BODEGA,TRUE,25-44,M,BLACK HISPANIC,25-44,M,BLACK HISPANIC,1005596,254339,40.86475888,-73.92282738
238490103,12/31/2021,19:23:00,STATEN ISLAND,120,0,PVT HOUSE,TRUE,45-64,M,WHITE,25-44,M,WHITE,966127,162589,40.61293531,-74.06527594
