"INCIDENT_KEY","OCCUR_DATE","OCCUR_TIME","BORO","PRECINCT","JURISDICTION_CODE","LOCATION_DESC","STATISTICAL_MURDER_FLAG","PERP_AGE_GROUP","PERP_SEX","PERP_RACE","VIC_AGE_GROUP","VIC_SEX","VIC_RACE","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","number"
223504665,"1/23/21","00:27:00","BROOKLYN",88,2,"MULTI DWELL - PUBLIC HOUS",TRUE,"","","","18-24","M","BLACK HISPANIC",991504,192125,40.69402076,-73.97384258,631
236362254,"11/16/21","20:35:00","QUEENS",108,0,"",FALSE,"","","","25-44","M","BLACK",1004907,204305,40.72743083,-73.92547228,296
231965177,"8/7/21","02:44:00","BROOKLYN",73,2,"MULTI DWELL - PUBLIC HOUS",TRUE,"","","","25-44","M","BLACK",1006042,182535,40.66767454,-73.9214477,631
233502666,"9/13/21","19:35:00","BROOKLYN",81,0,"",FALSE,"","","","18-24","M","BLACK",1004068,187072,40.68013222,-73.92855005,631
234208835,"9/28/21","18:45:00","BROOKLYN",75,0,"",TRUE,"","","","18-24","M","BLACK",1014557,181661,40.66525055,-73.89075759,631
230563799,"7/7/21","23:03:00","MANHATTAN",32,0,"",FALSE,"","","","45-64","M","BLACK HISPANIC",1000038,238903,40.82240328,-73.94295804,343
236236704,"11/12/21","03:15:00","BRONX",45,0,"",FALSE,"18-24","M","WHITE HISPANIC","18-24","M","WHITE HISPANIC",1030398,243833,40.83582826,-73.83323099,701
224950991,"2/26/21","22:25:00","BROOKLYN",73,0,"MULTI DWELL - APT BUILD",FALSE,"","","","18-24","M","ASIAN / PACIFIC ISLANDER",1006977,183504,40.67033187,-73.91807404,631
227127703,"4/19/21","19:20:00","BRONX",49,0,"",FALSE,"","","","18-24","M","ASIAN / PACIFIC ISLANDER",1023415,253740,40.86305374,-73.85840836,701
236761012,"11/21/21","03:10:00","QUEENS",113,0,"",FALSE,"","","","18-24","M","BLACK",1051611,191356,40.69165666,-73.75709727,296
235259979,"10/21/21","02:29:00","BROOKLYN",70,0,"MULTI DWELL - APT BUILD",FALSE,"45-64","M","BLACK","25-44","M","BLACK",995957,177431,40.65368426,-73.95781001,631
228563311,"5/22/21","06:35:00","BRONX",46,0,"",FALSE,"25-44","M","BLACK","25-44","M","BLACK",1009177,249329,40.85099856,-73.90989931,701
238040458,"12/17/21","20:59:00","MANHATTAN",34,0,"",TRUE,"","","","18-24","M","BLACK HISPANIC",1004796,255322,40.86745882,-73.92571668,343
223801324,"1/31/21","00:25:00","BROOKLYN",69,0,"",TRUE,"","","","45-64","M","BLACK",1006887,171672,40.63785586,-73.91843819,631
233149851,"9/4/21","20:18:00","MANHATTAN",32,0,"",FALSE,"18-24","M","WHITE HISPANIC","18-24","M","ASIAN / PACIFIC ISLANDER",998593,235938,40.81426765,-73.94818529,343
222932692,"1/11/21","23:49:00","BRONX",47,0,"MULTI DWELL - APT BUILD",TRUE,"<18","M","BLACK","18-24","M","BLACK HISPANIC",1020808,262493,40.88708919,-73.86778567,701
231671194,"8/2/21","03:20:00","BRONX",47,0,"",FALSE,"25-44","M","BLACK","18-24","M","BLACK",1026624,264377,40.89223416,-73.84673962,701
231941627,"8/6/21","16:40:00","BRONX",48,0,"",FALSE,"45-64","M","BLACK","25-44","M","BLACK HISPANIC",1015971,251537,40.85703706,-73.88533102,701
227344443,"4/25/21","06:30:00","BRONX",50,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"","","","18-24","M","BLACK HISPANIC",1012082,259912,40.88003699,-73.89935484,701
234549756,"10/5/21","14:30:00","QUEENS",114,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"45-64","M","BLACK","25-44","M","BLACK",999484,214810,40.75627543,-73.94501433,296
237712916,"12/11/21","22:02:00","BROOKLYN",73,0,"",FALSE,"25-44","M","BLACK","25-44","M","BLACK",1011611,179632,40.65969099,-73.90138489,631
235637133,"10/28/21","21:10:00","BROOKLYN",88,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"","","","25-44","M","BLACK",991504,192125,40.69402076,-73.97384258,631
229822600,"6/19/21","00:17:00","QUEENS",106,0,"",FALSE,"<18","M","BLACK","18-24","M","BLACK",1034038,186614,40.67875728,-73.82050045,296
223201958,"1/16/21","19:48:00","STATEN ISLAND",120,0,"MULTI DWELL - APT BUILD",TRUE,"25-44","M","BLACK","18-24","M","BLACK",960041,163798,40.61623922,-74.08720051,40
224354730,"2/12/21","05:15:00","BRONX",43,0,"",FALSE,"25-44","M","WHITE HISPANIC","25-44","M","BLACK",1018728,242744,40.83289254,-73.87540978,701
228918111,"5/31/21","19:50:00","BROOKLYN",83,0,"",FALSE,"18-24","M","BLACK HISPANIC","18-24","M","WHITE HISPANIC",1009422,191993,40.69362563,-73.90922848,631
232933075,"8/31/21","04:37:00","BRONX",44,0,"",TRUE,"<18","M","BLACK","25-44","M","BLACK HISPANIC",1007818,245734,40.84113507,-73.91482424,701
226503935,"4/3/21","18:23:00","BRONX",44,0,"",TRUE,"18-24","M","BLACK","18-24","M","BLACK HISPANIC",1008053,241673,40.82998817,-73.91398934,701
227950666,"5/9/21","04:40:00","MANHATTAN",9,0,"",FALSE,"","","","25-44","M","BLACK HISPANIC",987496,203963,40.72651564,-73.98829024,343
225123288,"3/4/21","00:40:00","BRONX",42,0,"",TRUE,"18-24","M","WHITE HISPANIC","25-44","M","BLACK",1014946,244090,40.83660087,-73.88907045,701
226950018,"4/14/21","21:08:00","BRONX",42,0,"COMMERCIAL BLDG",TRUE,"","","","18-24","M","BLACK",1009489,243050,40.83376365,-73.90879518,701
233431365,"9/10/21","22:30:00","BROOKLYN",73,0,"",FALSE,"","","","25-44","M","BLACK",1009715,185349,40.67538853,-73.908197,631
233837211,"9/21/21","03:10:00","BRONX",42,0,"",FALSE,"","","","25-44","M","BLACK",1014716,241733,40.83013239,-73.88991234,701
231965179,"8/8/21","00:30:00","BROOKLYN",75,0,"",FALSE,"","","","45-64","M","BLACK",1015110,178038,40.65530431,-73.88878085,631
231631686,"7/31/21","22:40:00","BROOKLYN",75,0,"",FALSE,"18-24","M","BLACK","25-44","M","WHITE HISPANIC",1019860,189120,40.68570407,-73.87160315,631
229848435,"6/20/21","22:38:00","BRONX",46,0,"",FALSE,"","","","25-44","M","BLACK",1011671,248756,40.84941845,-73.90088675,701
234396483,"10/1/21","19:15:00","BROOKLYN",73,0,"",FALSE,"","","","18-24","M","BLACK",1007016,182405,40.66731526,-73.91793716,631
224950992,"2/27/21","02:15:00","BRONX",45,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"","","","18-24","M","BLACK HISPANIC",1033515,237761,40.81914554,-73.82201134,701
225438896,"3/10/21","15:41:00","MANHATTAN",26,0,"",FALSE,"25-44","M","BLACK","25-44","M","BLACK",997004,236786,40.81659761,-73.95392417,343
234109824,"9/27/21","00:24:00","BROOKLYN",73,0,"",FALSE,"25-44","M","BLACK","25-44","M","BLACK",1011055,178343,40.65615467,-73.90339399,631
229540934,"6/14/21","21:20:00","QUEENS",103,0,"",FALSE,"","","","18-24","M","BLACK",1048517,198601,40.71156543,-73.76818506,296
226598085,"4/6/21","16:10:00","BROOKLYN",70,0,"",FALSE,"","","","25-44","F","BLACK HISPANIC",994431,176337,40.65068335,-73.96331129,631
230421164,"7/2/21","16:15:00","BROOKLYN",67,0,"",FALSE,"","","","<18","M","BLACK",1005525,181441,40.66467301,-73.92331479,631
230611231,"7/8/21","21:19:00","BRONX",43,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"","","","25-44","M","BLACK",1018369,244042,40.83645657,-73.87670048,701
232390407,"8/17/21","13:00:00","BRONX",41,0,"COMMERCIAL BLDG",FALSE,"25-44","M","WHITE HISPANIC","25-44","M","BLACK HISPANIC",1015966,235235,40.81229282,-73.88542618,701
232888017,"8/29/21","17:44:00","QUEENS",106,0,"GAS STATION",FALSE,"25-44","M","WHITE HISPANIC","45-64","M","WHITE HISPANIC",1028502,187094,40.68010418,-73.84045622,296
229643172,"6/16/21","23:22:00","BRONX",52,0,"",TRUE,"25-44","M","BLACK","25-44","M","BLACK",1014313,254123,40.86414065,-73.89131304,701
228262995,"5/15/21","21:07:00","BRONX",44,0,"",FALSE,"18-24","M","WHITE HISPANIC","25-44","F","WHITE HISPANIC",1010688,245851,40.84144808,-73.90445131,701
233763098,"9/18/21","03:24:00","BROOKLYN",67,0,"",FALSE,"25-44","M","BLACK","25-44","M","BLACK",1004006,171400,40.63711617,-73.9288195,631
230162218,"6/25/21","12:49:00","QUEENS",101,0,"MULTI DWELL - APT BUILD",TRUE,"","","","18-24","M","WHITE HISPANIC",1043650,154675,40.59103249,-73.78612751,296
